"type","longitude","latitude"
"Hospital",-9.1739889,38.7452901
"Hospital",-9.1738345,38.7466099
"Hospital",-9.1572511,38.7647081
"Hospital",-9.1574956,38.765767
"Hospital",-9.1577557,38.7663515
"Hospital",-9.1579918,38.7664718
"Hospital",-9.1595565,38.7661114
"Hospital",-9.159988,38.7660666
"Hospital",-9.1615184,38.7660927
"Hospital",-9.1637608,38.7661623
"Hospital",-9.1625928,38.7637945
"Hospital",-9.1612836,38.76415
"Hospital",-9.1612078,38.7640045
"Hospital",-9.1595424,38.7644406
"Hospital",-9.1758181,38.7486962
"Hospital",-9.1758257,38.7495752
"Hospital",-9.179843,38.7496091
"Hospital",-9.1777701,38.7490473
"Hospital",-9.1928865,38.7569673
"Hospital",-9.1934131,38.7560322
"Hospital",-9.1757503,38.7456741
"Hospital",-9.1756181,38.7452841
"Hospital",-9.1744041,38.7453015
"Hospital",-9.1645625,38.7500117
"Hospital",-9.1647107,38.7499523
"Hospital",-9.1647928,38.7498138
"Hospital",-9.1647819,38.7496596
"Hospital",-9.1620063,38.7458645
"Hospital",-9.1613694,38.745719
"Hospital",-9.1608117,38.7458257
"Hospital",-9.1590492,38.7464498
"Hospital",-9.1583102,38.7467408
"Hospital",-9.1572159,38.747201
"Hospital",-9.1571301,38.7473098
"Hospital",-9.1571193,38.7475106
"Hospital",-9.1583853,38.7498284
"Hospital",-9.1587179,38.7499622
"Hospital",-9.1739473,38.7456439
"Hospital",-9.1739323,38.7459129
"Hospital",-9.1739587,38.745546
"Hospital",-9.1417405,38.708403
"Hospital",-9.141375,38.708428
"Hospital",-9.141949,38.7084321
"Hospital",-9.1416798,38.708891
"Hospital",-9.1414434,38.7089107
"Hospital",-9.1419267,38.7088706
"Hospital",-9.1416146,38.7088965
"Hospital",-9.1469753,38.7328786
"Hospital",-9.1448077,38.7245701
"Hospital",-9.1461785,38.7238251
"Hospital",-9.1461329,38.7236545
"Hospital",-9.1459653,38.723867
"Hospital",-9.1416792,38.7220125
"Hospital",-9.143546,38.7229961
"Hospital",-9.1416309,38.7220314
"Hospital",-9.1425551,38.7231949
"Hospital",-9.1419045,38.7227743
"Hospital",-9.1433905,38.7225231
"Hospital",-9.1415451,38.72209
"Hospital",-9.1417275,38.7219811
"Hospital",-9.141411,38.7223097
"Hospital",-9.1413547,38.7223829
"Hospital",-9.1413225,38.7217719
"Hospital",-9.141647,38.7212822
"Hospital",-9.142339,38.7230379
"Hospital",-9.1434629,38.722745
"Hospital",-9.1418589,38.7213743
"Hospital",-9.1416497,38.7219414
"Hospital",-9.1420923,38.721322
"Hospital",-9.1434203,38.723041
"Hospital",-9.1424276,38.7231007
"Hospital",-9.1422103,38.7213952
"Hospital",-9.1431829,38.7230911
"Hospital",-9.1420185,38.7214397
"Hospital",-9.1417068,38.7220224
"Hospital",-9.141397,38.7224439
"Hospital",-9.1426231,38.723209
"Hospital",-9.1414271,38.7222155
"Hospital",-9.143385,38.7220398
"Hospital",-9.1432374,38.721684
"Hospital",-9.1414412,38.7218334
"Hospital",-9.1413709,38.7223619
"Hospital",-9.1431811,38.7215982
"Hospital",-9.1433072,38.7217029
"Hospital",-9.1429558,38.721389
"Hospital",-9.1430872,38.7214769
"Hospital",-9.1424785,38.7211838
"Hospital",-9.1425858,38.7213449
"Hospital",-9.1425083,38.7212286
"Hospital",-9.1415042,38.72254
"Hospital",-9.1414476,38.7225019
"Hospital",-9.1429345,38.7213554
"Hospital",-9.1423283,38.7212738
"Hospital",-9.1432746,38.7220633
"Hospital",-9.1427574,38.7212905
"Hospital",-9.1428138,38.7214077
"Hospital",-9.1422271,38.7213779
"Hospital",-9.1416742,38.7226395
"Hospital",-9.1378329,38.7163915
"Hospital",-9.1385812,38.7190367
"Hospital",-9.1371189,38.7168118
"Hospital",-9.1369824,38.7184114
"Hospital",-9.1373769,38.7167117
"Hospital",-9.1387368,38.7192606
"Hospital",-9.1371872,38.716828
"Hospital",-9.1382406,38.7171511
"Hospital",-9.1370148,38.7181013
"Hospital",-9.1371935,38.71869
"Hospital",-9.1370175,38.7180176
"Hospital",-9.1370298,38.7167642
"Hospital",-9.1369692,38.7180343
"Hospital",-9.1394078,38.7189704
"Hospital",-9.1389905,38.718333
"Hospital",-9.1366098,38.7172223
"Hospital",-9.1369636,38.7167581
"Hospital",-9.1387851,38.7191979
"Hospital",-9.1372845,38.7167675
"Hospital",-9.1379482,38.7166133
"Hospital",-9.1386487,38.7178624
"Hospital",-9.1388146,38.7198864
"Hospital",-9.1369317,38.7181512
"Hospital",-9.1381324,38.7196051
"Hospital",-9.138075,38.7196718
"Hospital",-9.1370221,38.7182476
"Hospital",-9.1366837,38.7171359
"Hospital",-9.1390311,38.7190555
"Hospital",-9.1383854,38.7173855
