"municipality","median_net_income_monthly","median_rent","rent_to_income_index"
"Santa Maria Maior",822.5,2000,2.43
"Misericórdia",980.67,2000,2.04
"Santo António",1276.42,2500,1.96
"Arroios",970.42,1860,1.92
"Beato",980.58,1840,1.88
"Estrela",1339.33,2400,1.79
"Campolide",1170.83,2057.5,1.76
"Penha de França",965.5,1600,1.66
"São Vicente",1007.75,1600,1.59
"Marvila",1011.92,1600,1.58
"Campo de Ourique",1356.33,1950,1.44
"Avenidas Novas",1570.25,2250,1.43
"Carnide",1444.08,2050,1.42
"Santa Clara",990.33,1400,1.41
"Olivais",1223.75,1700,1.39
"Ajuda",1119.25,1550,1.38
"Alcântara",1145.33,1570,1.37
"Areeiro",1582,2050,1.3
"Parque das Nações",1898.17,2300,1.21
"Alvalade",1690.08,2000,1.18
"Benfica",1408,1625,1.15
"Belém",1839.33,2000,1.09
"São Domingos de Benfica",1744.25,1850,1.06
"Lumiar",1911.92,2000,1.05
